"Id","Name","Store__c","VisitDate__c","Status__c","Purpose__c","Summary__c","NextAction__c","Rating__c","Visitor__c","CreatedDate","LastModifiedDate"
"a0C5g00000YmS2aEAF","SV-202503-0001","a0B5g00000XkR1aEAF","2025-03-15","Approved","定期巡回","渋谷店の定期巡回を実施。春物の売上が好調で、特にアウターカテゴリが前年比120%。棚割り変更の効果が出ている。店長からは夏物の早期入荷リクエストあり。","夏物カタログの送付と入荷スケジュールの共有。棚割り提案書を来週までに作成。","4","0055g00000ABC001","2025-03-15T10:00:00.000+0000","2025-03-15T14:30:00.000+0000"
"a0C5g00000YmS2bEAF","SV-202503-0002","a0B5g00000XkR1bEAF","2025-03-10","Approved","新商品案内","新宿店にて新商品ライン「Urban Series」の案内を実施。店長の反応は良好で、特にバッグカテゴリに興味を示す。ただし、現在の在庫スペースに限りがあるため、既存商品の入れ替えが必要。","既存商品の売上データを分析し、入れ替え候補リストを作成。来週の定例MTGで棚割り変更案を提示する。","4","0055g00000ABC001","2025-03-10T09:00:00.000+0000","2025-03-10T11:00:00.000+0000"
"a0C5g00000YmS2cEAF","SV-202503-0003","a0B5g00000XkR1cEAF","2025-02-28","Submitted","クレーム対応","池袋店にて、顧客からの商品不良クレーム対応。対象商品:品番AK-2025-003（冬物ジャケット）ファスナー不具合3件。同ロットの在庫を全数チェックし、追加で2点不具合を発見。返品・交換対応を実施済み。","品質管理部門に不具合報告を提出。同ロット商品の全店舗回収要否を判断。顧客への謝罪レター送付。","5","0055g00000ABC002","2025-02-28T13:00:00.000+0000","2025-02-28T16:00:00.000+0000"
"a0C5g00000YmS2dEAF","SV-202503-0004","a0B5g00000XkR1dEAF","2025-03-12","Approved","棚割り変更","梅田店の春夏向け棚割り変更を実施。冬物を40%削減し、春夏新商品を投入。店舗スタッフ3名と共同で作業、2時間で完了。before/after写真を撮影済み。","棚割り変更後1週間の売上レポートを確認。効果測定結果をエリアマネージャーに報告する。","3","0055g00000ABC003","2025-03-12T08:00:00.000+0000","2025-03-12T10:45:00.000+0000"
"a0C5g00000YmS2eEAF","SV-202503-0005","a0B5g00000XkR1eEAF","2025-03-08","Rejected","キャンペーン設置","心斎橋店にてスプリングセールのPOP・販促物設置を実施。ただし、店舗側のスペース制約により、当初予定していたフロアスタンド型POPの設置を断念。卓上POPとポスターのみの展開となった。","フロアスタンド型POPの代替案を本部デザインチームと検討。コンパクトサイズの販促物を再提案する。","2","0055g00000ABC003","2025-03-08T13:00:00.000+0000","2025-03-08T15:20:00.000+0000"
"a0C5g00000YmS2fEAF","SV-202503-0006","a0B5g00000XkR1fEAF","2025-01-20","Approved","定期巡回","名古屋栄店の定期巡回。冬物クリアランスセールの進捗確認。消化率は65%で目標の80%を下回っている。値引き幅の拡大を店長と相談し、追加20%OFFの実施を決定。","クリアランス終了後の残在庫リストを取得し、アウトレット転送の手配を行う。","3","0055g00000ABC004","2025-01-20T10:00:00.000+0000","2025-01-20T13:00:00.000+0000"
"a0C5g00000YmS2gEAF","SV-202503-0007","a0B5g00000XkR1gEAF","2025-02-15","Approved","新商品案内","天神店にて春の新商品展示会を実施。バイヤー2名、店舗スタッフ5名が参加。全カテゴリの新商品サンプルを展示し、各スタッフに商品知識のレクチャーを実施。特にサステナブル素材の新ラインへの反応が非常に良い。","発注数量の最終確認を3/1までに完了。サステナブルラインの追加販促資料を送付する。","5","0055g00000ABC005","2025-02-15T09:00:00.000+0000","2025-02-15T11:30:00.000+0000"
"a0C5g00000YmS2hEAF","SV-202503-0008","a0B5g00000XkR1iEAF","2025-03-01","Submitted","定期巡回","広島店の3月度定期巡回。新年度に向けた入社式・フレッシャーズ需要の立ち上がりを確認。ビジネスカジュアルカテゴリの引き合いが増加傾向。ディスプレイをフレッシャーズ向けのコーディネート提案に変更。","フレッシャーズ向けセット販売の企画書を作成し、本部の販促チームと連携。POP到着次第、追加の販促物を設置する。","4","0055g00000ABC007","2025-03-01T10:00:00.000+0000","2025-03-01T14:00:00.000+0000"
"a0C5g00000YmS2iEAF","SV-202503-0009","a0B5g00000XkR1jEAF","2025-03-18","Draft","定期巡回","横浜ランドマーク店の定期巡回。みなとみらいエリアの観光客増加に伴い、インバウンド向け商品の売上が前月比150%。英語・中国語のPOPが効果的。免税対応の手順をスタッフに再確認。","インバウンド向け商品の追加発注。多言語POPの追加印刷依頼。免税対応マニュアルの最新版を店舗に配布。","4","0055g00000ABC002","2025-03-18T09:00:00.000+0000","2025-03-18T09:30:00.000+0000"
"a0C5g00000YmS2jEAF","SV-202503-0010","a0B5g00000XkR1aEAF","2025-02-20","Approved","キャンペーン設置","渋谷店にてバレンタインキャンペーンの撤去と春キャンペーンへの切り替え作業。バレンタインの実績は前年比110%で好調。春キャンペーン用のフラワーディスプレイを設置し、SNS投稿用フォトスポットも新設。","春キャンペーン開始後1週間の集客データを確認。SNSでのハッシュタグ効果も計測する。","4","0055g00000ABC001","2025-02-20T08:00:00.000+0000","2025-02-20T12:00:00.000+0000"
